Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
125790-78767,G,Scottie,Scottie Scheffler,Scheffler,110.509521484375,21,14600,,,,,,,,,G
125790-101764,G,Ben,Ben Griffin,Griffin,81.30000305175781,1,11900,,,,,,,,,G
125790-163390,G,Ludvig,Ludvig Aberg,Aberg,68.80999755859375,20,11800,,,,,,,,,G
125790-77904,G,Sam,Sam Burns,Burns,77.26538555438702,26,11600,,,,,,,,,G
125790-79435,G,Patrick,Patrick Cantlay,Cantlay,75.24500122070313,20,11400,,,,,,,,,G
125790-78206,G,Russell,Russell Henley,Henley,89.5999984741211,1,11300,,,,,,,,,G
125790-110893,G,Robert,Robert MacIntyre,MacIntyre,108.4000015258789,1,11100,,,,,,,,,G
125790-78083,G,Matt,Matt Fitzpatrick,Fitzpatrick,68.19000244140625,20,10900,,,,,,,,,G
125790-119289,G,Harry,Harry Hall,Hall,96.5999984741211,1,10800,,,,,,,,,G
125790-80579,G,Sepp,Sepp Straka,Straka,81.20454545454545,22,10600,,,,,,,,,G
125790-78660,G,Taylor,Taylor Pendrith,Pendrith,97.5,1,10500,,,,,,,,,G
125790-78346,G,Si Woo,Si Woo Kim,Kim,91.5999984741211,1,10400,,,,,,,,,G
125790-78599,G,Alex,Alex Noren,Noren,68.5,12,10300,,,,,,,,,G
125790-78050,G,Harris,Harris English,English,71.25833129882812,24,10200,,,,,,,,,G
125790-107238,G,Michael,Michael Thorbjornsen,Thorbjornsen,69.52916463216145,24,10100,,,,,,,,,G
125790-78093,G,Rickie,Rickie Fowler,Fowler,68.19523693266369,21,10000,,,,,,,,,G
125790-78357,G,Kurt,Kurt Kitayama,Kitayama,70.5,1,9900,,,,,,,,,G
125790-118173,G,Davis,Davis Thompson,Thompson,62.75925925925926,27,9900,,,,,,,,,G
125790-151427,G,Rasmus,Rasmus Hojgaard,Hojgaard,64.8631591796875,19,9800,,,,,,,,,G
125790-77997,G,Jason,Jason Day,Day,70.64117790670956,17,9800,,,,,,,,,G
125790-151407,G,Min Woo,Min Woo Lee,Lee,59.64210269325658,19,9700,,,,,,,,,G
125790-78744,G,Justin,Justin Rose,Rose,64.53683953536184,19,9700,,,,,,,,,G
125790-78689,G,J.T.,J.T. Poston,Poston,64.647998046875,25,9600,,,,,,,,,G
125790-78780,G,Adam,Adam Scott,Scott,61,1,9600,,,,,,,,,G
125790-103030,G,Akshay,Akshay Bhatia,Bhatia,70.25,26,9500,,,,,,,,,G
125790-79018,G,Will,Will Zalatoris,Zalatoris,64.80909312855114,11,9500,,,,,,,,,G
125790-77848,G,Daniel,Daniel Berger,Berger,103.5999984741211,1,9400,,,,,,,,,G
125790-80788,G,Wyndham,Wyndham Clark,Clark,68.40416463216145,24,9400,,,,,,,,,G
125790-78889,G,Nick,Nick Taylor,Taylor,86.9000015258789,1,9300,,,,,,,,,G
125790-84456,G,Kevin,Kevin Yu,Yu,67.18571254185268,28,9300,,,,,,,,,G
125790-110898,G,Christiaan,Christiaan Bezuidenhout,Bezuidenhout,62.287998046875,25,9200,,,,,,,,,G
125790-151425,G,Pierceson,Pierceson Coody,Coody,90.4000015258789,1,9200,,,,,,,,,G
125790-78520,G,Denny,Denny McCarthy,McCarthy,73.0999984741211,1,9100,,,,,,,,,G
125790-78552,G,Keith,Keith Mitchell,Mitchell,55.5,1,9100,,,,,,,,,G
125790-82217,G,Rico,Rico Hoey,Hoey,63.900001525878906,1,9000,,,,,,,,,G
125790-80556,G,Max,Max Greyserman,Greyserman,64.29999909577546,27,9000,,,,,,,,,G
125790-170740,G,Ryan,Ryan Gerard,Gerard,114.30000305175781,1,9000,,,,,,,,,G
125790-78439,G,Hao-Tong,Hao-Tong Li,Li,64.5,1,8900,,,,,,,,,G
125790-78951,G,Matt,Matt Wallace,Wallace,57.616668701171875,24,8900,,,,,,,,,G
125790-78187,G,Brian,Brian Harman,Harman,65.5,1,8900,,,,,,,,,G
125790-169771,G,Jacob,Jacob Bridgeman,Bridgeman,113.4000015258789,1,8800,,,,,,,,,G
125790-165953,G,Sam,Sam Stevens,Stevens,76.30000305175781,1,8800,,,,,,,,,G
125790-79759,G,Sahith,Sahith Theegala,Theegala,83.4000015258789,1,8800,,,,,,,,,G
125790-78344,G,Michael,Michael Kim,Kim,80.30000305175781,1,8700,,,,,,,,,G
125790-78154,G,Emiliano,Emiliano Grillo,Grillo,23.399999618530273,1,8700,,,,,,,,,G
125790-80560,G,Alex,Alex Smalley,Smalley,75,1,8700,,,,,,,,,G
125790-110906,G,Matti,Matti Schmid,Schmid,30.299999237060547,1,8600,,,,,,,,,G
125790-211781,G,John,John Keefer,Keefer,64.5,1,8600,,,,,,,,,G
125790-78228,G,Max,Max Homa,Homa,57.2875010172526,24,8600,,,,,,,,,G
125790-82360,G,Andrew,Andrew Novak,Novak,61.407407407407405,27,8600,,,,,,,,,G
125790-171872,G,John,John Parry,Parry,84.69999694824219,1,8500,,,,,,,,,G
125790-78739,G,Patrick,Patrick Rodgers,Rodgers,112,1,8500,,,,,,,,,G
125790-199057,G,Jesper,Jesper Svensson,Svensson,68.352001953125,25,8500,,,,,,,,,G
125790-170739,G,William,William Mouw,Mouw,50.099998474121094,1,8500,,,,,,,,,G
125790-78938,G,Jhonattan,Jhonattan Vegas,Vegas,58.19000244140625,20,8400,,,,,,,,,G
125790-151448,G,Sami,Sami Valimaki,Valimaki,68.5839990234375,25,8400,,,,,,,,,G
125790-116974,G,Vince,Vince Whaley,Whaley,65.19999694824219,1,8400,,,,,,,,,G
125790-170736,G,Matthew,Matthew McCarty,McCarty,67.69999694824219,1,8400,,,,,,,,,G
125790-151379,G,Ricky,Ricky Castillo,Castillo,76.0999984741211,1,8300,,,,,,,,,G
125790-78998,G,Gary,Gary Woodland,Woodland,22.700000762939453,1,8300,,,,,,,,,G
125790-78232,G,Billy,Billy Horschel,Horschel,41.400001525878906,1,8300,,,,,,,,,G
125790-78243,G,Mackenzie,Mackenzie Hughes,Hughes,54.59629539207176,27,8300,,,,,,,,,G
125790-78382,G,Matt,Matt Kuchar,Kuchar,71.45555284288194,18,8200,,,,,,,,,G
125790-171574,G,Aldrich,Aldrich Potgieter,Potgieter,51.25789602179276,19,8200,,,,,,,,,G
125790-151397,G,Mac,Mac Meissner,Meissner,80.80000305175781,1,8200,,,,,,,,,G
125790-200938,G,Steven,Steven Fisk,Fisk,33.5,1,8200,,,,,,,,,G
125790-78355,G,Chris,Chris Kirk,Kirk,23.399999618530273,1,8100,,,,,,,,,G
125790-107345,G,Austin,Austin Eckroat,Eckroat,29.5,1,8100,,,,,,,,,G
125790-78692,G,Seamus,Seamus Power,Power,78.69999694824219,1,8100,,,,,,,,,G
125790-78817,G,Jordan L.,Jordan L. Smith,Smith,49.099998474121094,1,8100,,,,,,,,,G
125790-179537,G,Kevin,Kevin Roy,Roy,84.5999984741211,1,8000,,,,,,,,,G
125790-77925,G,Bud,Bud Cauley,Cauley,79.4000015258789,1,8000,,,,,,,,,G
125790-199049,G,Neal,Neal Shipley,Shipley,12.800000190734863,1,8000,,,,,,,,,G
125790-170680,G,Nick,Nick Dunlap,Dunlap,74.30000305175781,1,8000,,,,,,,,,G
125790-165892,G,Michael,Michael Brennan,Brennan,26.100000381469727,1,7900,,,,,,,,,G
125790-82444,G,Doug,Doug Ghim,Ghim,63.400001525878906,1,7900,,,,,,,,,G
125790-82301,G,Takumi,Takumi Kanaya,Kanaya,65.5,1,7900,,,,,,,,,G
125790-101765,G,Lee,Lee Hodges,Hodges,97.5,1,7900,,,,,,,,,G
125790-118061,G,Patrick,Patrick Fishburn,Fishburn,58.53448275862069,29,7800,,,,,,,,,G
125790-78268,G,Stephan,Stephan Jaeger,Jaeger,59.70000090422454,27,7800,,,,,,,,,G
125790-79599,G,Davis,Davis Riley,Riley,106.0999984741211,1,7800,,,,,,,,,G
125790-84729,G,Kris,Kris Ventura,Ventura,61.51154033954327,26,7800,,,,,,,,,G
125790-179513,G,Nicolas,Nicolas Echavarria,Echavarria,11.699999809265137,1,7700,,,,,,,,,G
125790-82762,G,Zecheng,Zecheng Dou,Dou,72.9000015258789,1,7700,,,,,,,,,G
125790-189532,G,Daniel,Daniel Brown,Brown,80,1,7700,,,,,,,,,G
125790-78078,G,Tony,Tony Finau,Finau,16.799999237060547,1,7700,,,,,,,,,G
125790-202498,G,Luke,Luke Clanton,Clanton,24.799999237060547,1,7600,,,,,,,,,G
125790-78358,G,Patton,Patton Kizzire,Kizzire,78.80000305175781,1,7600,,,,,,,,,G
125790-78872,G,Adam,Adam Svensson,Svensson,78.5999984741211,1,7600,,,,,,,,,G
125790-151428,G,Eric,Eric Cole,Cole,25.200000762939453,1,7600,,,,,,,,,G
125790-78751,G,Sam,Sam Ryder,Ryder,64.82963053385417,27,7600,,,,,,,,,G
125790-78566,G,Taylor,Taylor Moore,Moore,58.61538461538461,26,7600,,,,,,,,,G
125790-161547,G,Max,Max McGreevy,McGreevy,24.799999237060547,1,7500,,,,,,,,,G
125790-78931,G,Erik,Erik Van Rooyen,Van Rooyen,29.899999618530273,1,7500,,,,,,,,,G
125790-226937,G,Sudarshan,Sudarshan Yellamaraju,Yellamaraju,93.0999984741211,1,7500,,,,,,,,,G
125790-151445,G,Seonghyeon,Seonghyeon Kim,Kim,84.69999694824219,1,7500,,,,,,,,,G
125790-80362,G,Austin,Austin Smotherman,Smotherman,24.100000381469727,1,7500,,,,,,,,,G
125790-170735,G,Adrien,Adrien Dumont De Chassart,Dumont De Chassart,81.4000015258789,1,7500,,,,,,,,,G
125790-78337,G,Chan,Chan Kim,Kim,52.65185094762732,27,7400,,,,,,,,,G
