Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
126670-78767,G,Scottie,Scottie Scheffler,Scheffler,148.0999959309896,3,15800,,,,,,,,,G
126670-78530,G,Rory,Rory McIlroy,McIlroy,127.19999694824219,1,12600,,,,,,,,,G
126670-78766,G,Xander,Xander Schauffele,Schauffele,72.73333231608073,3,11800,,,,,,,,,G
126670-78508,G,Hideki,Hideki Matsuyama,Matsuyama,103.1500015258789,4,11600,,,,,,,,,G
126670-78084,G,Tommy,Tommy Fleetwood,Fleetwood,135.10000610351562,1,11400,,,,,,,,,G
126670-79435,G,Patrick,Patrick Cantlay,Cantlay,89.83333333333333,3,11300,,,,,,,,,G
126670-78206,G,Russell,Russell Henley,Henley,109.09999593098958,3,11100,,,,,,,,,G
126670-107336,G,Cameron,Cameron Young,Young,75.86666870117188,3,10900,,,,,,,,,G
126670-78569,G,Collin,Collin Morikawa,Morikawa,78.93333435058594,3,10800,,,,,,,,,G
126670-165988,G,Chris,Chris Gotterup,Gotterup,111.07499694824219,4,10700,,,,,,,,,G
126670-77904,G,Sam,Sam Burns,Burns,84.36666870117188,3,10600,,,,,,,,,G
126670-78346,G,Si Woo,Si Woo Kim,Kim,111.6,5,10500,,,,,,,,,G
126670-101713,G,Viktor,Viktor Hovland,Hovland,80,2,10400,,,,,,,,,G
126670-101764,G,Ben,Ben Griffin,Griffin,89.9749984741211,4,10300,,,,,,,,,G
126670-78093,G,Rickie,Rickie Fowler,Fowler,104.23333740234375,3,10200,,,,,,,,,G
126670-110893,G,Robert,Robert MacIntyre,MacIntyre,103.7000020345052,3,10100,,,,,,,,,G
126670-78083,G,Matt,Matt Fitzpatrick,Fitzpatrick,104.03333536783855,3,10000,,,,,,,,,G
126670-78744,G,Justin,Justin Rose,Rose,104.33333333333333,3,9900,,,,,,,,,G
126670-79518,G,Jake,Jake Knapp,Knapp,107.0250015258789,4,9800,,,,,,,,,G
126670-151407,G,Min Woo,Min Woo Lee,Lee,108.2000020345052,3,9700,,,,,,,,,G
126670-78538,G,Maverick,Maverick McNealy,McNealy,96.4000015258789,4,9600,,,,,,,,,G
126670-78780,G,Adam,Adam Scott,Scott,84.43333435058594,3,9500,,,,,,,,,G
126670-163390,G,Ludvig,Ludvig Aberg,Aberg,60.366668701171875,3,9400,,,,,,,,,G
126670-78050,G,Harris,Harris English,English,95.375,4,9300,,,,,,,,,G
126670-80579,G,Sepp,Sepp Straka,Straka,94.63333129882812,3,9200,,,,,,,,,G
126670-78833,G,Jordan,Jordan Spieth,Spieth,68.10000101725261,3,9100,,,,,,,,,G
126670-103030,G,Akshay,Akshay Bhatia,Bhatia,85.19999694824219,4,9000,,,,,,,,,G
126670-77881,G,Keegan,Keegan Bradley,Bradley,71,3,8900,,,,,,,,,G
126670-77997,G,Jason,Jason Day,Day,108.5,3,8800,,,,,,,,,G
126670-151425,G,Pierceson,Pierceson Coody,Coody,105.04000244140624,5,8700,,,,,,,,,G
126670-78467,G,Shane,Shane Lowry,Lowry,122.9000015258789,1,8600,,,,,,,,,G
126670-119289,G,Harry,Harry Hall,Hall,83.92500305175781,4,8500,,,,,,,,,G
126670-78831,G,J.J.,J.J. Spaun,Spaun,66.86666870117188,3,8400,,,,,,,,,G
126670-170740,G,Ryan,Ryan Gerard,Gerard,109.125,4,8400,,,,,,,,,G
126670-78357,G,Kurt,Kurt Kitayama,Kitayama,75.44999694824219,4,8300,,,,,,,,,G
126670-169771,G,Jacob,Jacob Bridgeman,Bridgeman,108.67500305175781,4,8300,,,,,,,,,G
126670-78889,G,Nick,Nick Taylor,Taylor,92.32499694824219,4,8200,,,,,,,,,G
126670-78689,G,J.T.,J.T. Poston,Poston,91.76666259765625,3,8200,,,,,,,,,G
126670-78599,G,Alex,Alex Noren,Noren,62.133331298828125,3,8100,,,,,,,,,G
126670-78660,G,Taylor,Taylor Pendrith,Pendrith,75.57499694824219,4,8100,,,,,,,,,G
126670-78228,G,Max,Max Homa,Homa,62.866668701171875,3,8000,,,,,,,,,G
126670-165953,G,Sam,Sam Stevens,Stevens,85.82000122070312,5,8000,,,,,,,,,G
126670-78739,G,Patrick,Patrick Rodgers,Rodgers,90.75999755859375,5,7900,,,,,,,,,G
126670-78520,G,Denny,Denny McCarthy,McCarthy,77.57499694824219,4,7900,,,,,,,,,G
126670-77966,G,Corey,Corey Conners,Conners,53.53333536783854,3,7800,,,,,,,,,G
126670-170736,G,Matthew,Matthew McCarty,McCarty,77.37999877929687,5,7800,,,,,,,,,G
126670-79759,G,Sahith,Sahith Theegala,Theegala,96,5,7700,,,,,,,,,G
126670-163239,G,Ryo,Ryo Hisatsune,Hisatsune,93.9,5,7700,,,,,,,,,G
126670-80788,G,Wyndham,Wyndham Clark,Clark,82.0999984741211,4,7600,,,,,,,,,G
126670-77848,G,Daniel,Daniel Berger,Berger,86.125,4,7600,,,,,,,,,G
126670-80556,G,Max,Max Greyserman,Greyserman,62.150001525878906,4,7500,,,,,,,,,G
126670-78187,G,Brian,Brian Harman,Harman,62.525001525878906,4,7500,,,,,,,,,G
126670-78344,G,Michael,Michael Kim,Kim,75.82499694824219,4,7400,,,,,,,,,G
126670-82217,G,Rico,Rico Hoey,Hoey,55.44000244140625,5,7400,,,,,,,,,G
126670-78095,G,Ryan,Ryan Fox,Fox,91.80000305175781,2,7300,,,,,,,,,G
126670-78709,G,Aaron,Aaron Rai,Rai,54.650001525878906,2,7300,,,,,,,,,G
126670-151390,G,Garrick,Garrick Higgo,Higgo,36.166666666666664,3,7200,,,,,,,,,G
126670-77925,G,Bud,Bud Cauley,Cauley,78.42500305175781,4,7200,,,,,,,,,G
126670-179513,G,Nicolas,Nicolas Echavarria,Echavarria,53.82500076293945,4,7100,,,,,,,,,G
126670-84456,G,Kevin,Kevin Yu,Yu,57.23333231608073,3,7100,,,,,,,,,G
126670-151448,G,Sami,Sami Valimaki,Valimaki,64.9000015258789,4,7000,,,,,,,,,G
126670-171875,G,Marco,Marco Penge,Penge,34.23333231608073,3,7000,,,,,,,,,G
126670-78078,G,Tony,Tony Finau,Finau,62.2,5,6900,,,,,,,,,G
126670-78225,G,Tom,Tom Hoge,Hoge,78.94000244140625,5,6800,,,,,,,,,G
126670-82360,G,Andrew,Andrew Novak,Novak,73.7249984741211,4,6700,,,,,,,,,G
126670-161547,G,Max,Max McGreevy,McGreevy,77.4,5,6600,,,,,,,,,G
126670-137069,G,Tom,Tom Kim,Kim,68.69999694824219,4,6500,,,,,,,,,G
126670-78135,G,Lucas,Lucas Glover,Glover,78.69999694824219,1,6400,,,,,,,,,G
126670-171574,G,Aldrich,Aldrich Potgieter,Potgieter,46.275001525878906,4,6300,,,,,,,,,G
126670-110906,G,Matti,Matti Schmid,Schmid,48.47999877929688,5,6200,,,,,,,,,G
126670-77911,G,Brian,Brian Campbell,Campbell,44.400001525878906,4,6100,,,,,,,,,G
126670-78938,G,Jhonattan,Jhonattan Vegas,Vegas,31.76666768391927,3,6000,,,,,,,,,G
